timestamp,temperature,core_voltage,cpu_frequency
2025-04-03 16:35:34,54.8,1.2625,1000.0
2025-04-03 16:35:39,54.8,1.2625,1000.0
2025-04-03 16:35:44,53.7,1.2625,1000.0
2025-04-03 16:35:49,54.8,1.2625,1000.0
2025-04-03 16:35:54,54.2,1.2625,1000.0
2025-04-03 16:35:59,53.7,1.2625,1000.0
2025-04-03 16:36:04,54.8,1.2625,1000.0
2025-04-03 16:36:09,54.2,1.2625,1000.0
2025-04-03 16:36:14,54.8,1.2625,1000.0
2025-04-03 16:36:19,54.8,1.2625,1000.0
2025-04-03 16:36:24,54.8,1.2625,1000.002
2025-04-03 16:36:29,54.2,1.2625,1000.0
2025-04-03 16:36:34,54.8,1.2625,1000.0
2025-04-03 16:36:39,53.7,1.2625,1000.0
2025-04-03 16:36:44,54.2,1.2625,1000.0
2025-04-03 16:36:49,55.3,1.2625,1000.0
2025-04-03 16:36:54,54.8,1.2625,1000.0
2025-04-03 16:36:59,53.7,1.2625,1000.0
2025-04-03 16:37:04,54.8,1.2625,1000.0
2025-04-03 16:37:09,53.7,1.2625,1000.0
2025-04-03 16:37:14,54.2,1.2625,1000.0
2025-04-03 16:37:19,54.2,1.2625,1000.0
2025-04-03 16:37:25,54.2,1.2625,1000.0
2025-04-03 16:37:30,54.2,1.2625,1000.002
2025-04-03 16:37:35,54.8,1.2625,1000.0
2025-04-03 16:37:40,53.7,1.2625,999.998
2025-04-03 16:37:45,53.7,1.2625,1000.0
2025-04-03 16:37:50,54.2,1.2625,1000.0
2025-04-03 16:37:55,53.7,1.2625,1000.0
2025-04-03 16:38:00,53.7,1.2625,1000.0
2025-04-03 16:38:05,54.2,1.2625,1000.0
2025-04-03 16:38:10,53.7,1.2625,1000.0
2025-04-03 16:38:15,54.2,1.2625,1000.0
2025-04-03 16:38:20,53.7,1.2625,1000.0
2025-04-03 16:38:25,54.2,1.2625,1000.0
2025-04-03 16:38:30,54.2,1.2625,1000.0
2025-04-03 16:38:35,54.2,1.2625,1000.0
2025-04-03 16:38:40,53.7,1.2625,1000.0
2025-04-03 16:38:45,54.2,1.2625,1000.002
2025-04-03 16:38:50,53.7,1.2625,1000.0
2025-04-03 16:38:55,54.2,1.2625,1000.002
2025-04-03 16:39:00,54.2,1.2625,1000.0
2025-04-03 16:39:05,53.2,1.2625,1000.0
2025-04-03 16:39:10,53.7,1.2625,1000.0
2025-04-03 16:39:15,54.8,1.2625,1000.0
2025-04-03 16:39:20,53.7,1.2625,1000.0
2025-04-03 16:39:25,54.2,1.2625,1000.0
